id,stam_number,suffix,colors
1,13,,groen-zwart-groen/wit
2,61,,Paars-paars-paars
3,79,,Mauve-mauve-mauve
4,74,,Wit-zwart-zwart
5,81,,rood/wit-rood-rood
6,81,B,rood/wit-rood-rood
7,105,,Oranje-zwart-zwart
8,177,,rood/zwart-zwart-rood
9,177,B,rood/zwart-zwart-rood
10,162,,Zwart-geel-zwart
11,162,B,Zwart-geel-zwart
12,9,,Blauw-blauw-blauw
13,6,,Rood-zwart-zwart
14,6,B,Rood-rood-rood
15,4,,Groen–groen-groen
16,136,,geel/rood-rood-geel/rood
17,52,,Rood-zwart-rood
18,52,B,Rood-zwart-rood
19,214,,blauw/geel-blauw-blauw
20,214,B,Blauw-blauw-blauw
21,79,Veteranen,Mauve-mauve-mauve
22,305,,Blauw-blauw-blauw
23,114,,Blauw-zwart-zwart
24,74,Veteranen,blauw/wit-blauw-blauw
25,223,,Blauw-blauw-blauw
26,99,,groen/wit-groen/wit-groen
27,202,,groen/wit-groen-groen
28,201,,rood-wit-rood/wit
29,321,,Bordeaux-zwart-zwart
30,285,,rood/wit-rood/wit-rood/wit
31,176,,zwart/rood-zwart-zwart/rood
32,199,,geel/groen-groen-groen
33,183,,groen/geel-groen-groen
34,58,,Geel-zwart-zwart
35,329,,Geel-zwart-geel
36,327,,Rood-zwart-zwart
37,4,B,Groen-groen-groen
38,328,,rood/wit-rood/wit-rood
39,330,,Geel-blauw-rood
40,199,Veteranen,geel/groen-groen-groen
41,52,Veteranen,Rood-rood-rood
42,241,,Geel-zwart-zwart
43,94,,Geel-zwart-geel
44,267,,blauw/bordeaux-blauw-blauw
45,142,,Blauw-blauw-blauw
46,320,,wit/zwart-zwart-zwart
47,145,,Geel-blauw-geel
48,272,,blauw/rood-blauw-rood/blauw
49,180,,Blauw-blauw-blauw
50,8,,rood/wit-rood-rood
51,134,,Blauw-blauw-geel
52,135,,Rood-rood-rood
53,254,,zwart/wit-zwart-zwart/wit
54,260,,Groen-wit-groen
55,323,,Zwart-zwart-zwart
56,322,,zwart/rood-zwart-rood
57,17,,Zwart-zwart-zwart
58,314,,bordeaux/blauw-zwart-zwart
59,318,,Koningsblauw-blauw-blauw
60,79,B,Mauve-mauve-mauve
61,324,,zwart/oranje-zwart-zwart
62,317,,Geel-zwart-zwart
63,295,,Rood-zwart-zwart
64,316,,bordeaux/blauw-blauw-blauw
65,326,,Geel-blauw-blauw
66,17,Veteranen,Rood-rood-rood
67,325,,zwart/geel-zwart-zwart
68,272,B,rood/zwart-zwart-rood
69,165,,Geel-blauw-blauw
70,331,,Groen-rood-zwart
71,332,,geel/zwart-zwart-zwart/geel
